raw,pctl
209.51,0.1769127
209.5,0.177411
209.49,0.1776602
209.48,0.1779093
209.46,0.1781585
209.31,0.1796536
208.8,0.1799027
208.79,0.1804011
208.78,0.1823945
208.77,0.1833911
208.76,0.1841387
208.75,0.1843878
208.74,0.1853845
208.73,0.1863812
208.72,0.1866304
208.7,0.1868796
208.68,0.1871287
208.67,0.1878763
208.66,0.1881254
208.65,0.1896205
208.64,0.1898696
208.58,0.1901188
208.52,0.190368
208.11,0.1908663
208,0.1911155
207.99,0.1928597
207.98,0.1931089
207.97,0.1943547
207.96,0.1951023
207.95,0.1968465
207.94,0.1978432
207.93,0.1983415
207.92,0.1985907
207.91,0.1993382
207.89,0.1998365
207.86,0.2000857
207.83,0.2023283
207.81,0.2025774
207.72,0.2028266
207.58,0.2035741
207.38,0.2040725
207.2,0.2043217
207.19,0.2055675
207.18,0.206315
207.17,0.2075609
207.16,0.2083084
207.15,0.2088068
207.14,0.2095543
207.13,0.2098035
207.12,0.210551
207.1,0.2108001
207.09,0.2110493
207.08,0.2115477
207.06,0.2117968
207.05,0.2132919
206.4,0.213541
206.39,0.2157836
206.38,0.2170295
206.37,0.2182753
206.36,0.219272
206.35,0.2205179
206.34,0.2207671
206.33,0.2215146
206.32,0.2220129
206.31,0.2222621
206.3,0.2225113
206.29,0.2230096
206.28,0.2232588
206.26,0.223508
206.22,0.2242555
206.12,0.225003
206.06,0.2252522
205.99,0.2255013
205.61,0.2257505
205.6,0.2259997
205.59,0.2294881
205.58,0.2299864
205.57,0.2314815
205.56,0.232229
205.55,0.2329765
205.54,0.233724
205.53,0.2339732
205.52,0.2344716
205.51,0.2349699
205.5,0.2352191
205.47,0.2354682
205.46,0.2357174
205.43,0.2369633
205.38,0.2372125
205.36,0.2377108
205.33,0.23796
205.3,0.2382091
204.8,0.2384583
204.79,0.24095
204.78,0.2419467
204.77,0.2424451
204.76,0.2439401
204.75,0.245186
204.74,0.2464318
204.73,0.2469302
204.72,0.2471794
204.71,0.2474285
204.7,0.2481761
204.69,0.2486744
204.68,0.2491727
204.66,0.2494219
204.65,0.2519136
204.62,0.2521628
204.58,0.252412
204.54,0.2529103
204.49,0.2531595
204,0.2534087
203.99,0.2571463
203.98,0.258143
203.97,0.2593888
203.96,0.2618806
203.95,0.2633756
203.93,0.2638739
203.92,0.2646215
203.91,0.2648706
203.88,0.2651198
203.86,0.2656181
203.85,0.2676115
203.84,0.268359
203.81,0.2688574
203.8,0.2693557
203.79,0.2696049
203.78,0.2698541
203.74,0.2701033
203.46,0.2703524
203.2,0.2706016
203.19,0.2728442
203.18,0.27409
203.17,0.2745884
203.15,0.2755851
203.14,0.2758342
203.13,0.2763326
203.12,0.2768309
203.11,0.2773293
203.09,0.278326
203.07,0.2788243
203.06,0.2793226
203.05,0.2830602
203.02,0.2835586
203,0.2838078
202.8,0.2843061
202.41,0.2845553
202.4,0.2848044
202.39,0.2890404
202.38,0.2910338
202.37,0.2917813
202.36,0.2925288
202.35,0.2932763
202.34,0.2960172
202.33,0.2962664
202.32,0.2967647
202.31,0.2975123
202.29,0.2977614
202.28,0.2987581
202.27,0.2990073
202.23,0.3017482
202.22,0.3022465
202.21,0.3024957
202.2,0.3027449
202.15,0.3029941
202.14,0.3034924
201.9,0.3037416
201.89,0.3039908
201.78,0.3042399
201.6,0.3044891
201.59,0.30723
201.58,0.3094726
201.57,0.3104692
201.56,0.3127118
201.55,0.3139577
201.54,0.3142068
201.53,0.3147052
201.52,0.3152035
201.51,0.3154527
201.5,0.3164494
201.48,0.3166986
201.47,0.3176953
201.46,0.3186919
201.45,0.3191903
201.44,0.3194395
201.43,0.3199378
201.42,0.320187
201.41,0.3204362
201.4,0.3206853
201.38,0.3209345
201.36,0.3211837
201.26,0.3214328
200.93,0.321682
200.8,0.3219312
200.79,0.3271638
200.78,0.3291572
200.77,0.3296555
200.76,0.3311506
200.75,0.3318981
200.74,0.3328948
200.73,0.3333931
200.72,0.3343898
200.71,0.3353865
200.68,0.3363832
200.67,0.3366324
200.65,0.3386258
200.64,0.3388749
200.63,0.3391241
200.6,0.3393733
200.59,0.3396225
200.53,0.3398716
200.49,0.3406191
200.44,0.3408683
200,0.3411175
199.99,0.3441076
199.98,0.3463501
199.97,0.3478452
199.96,0.3498385
199.95,0.3508352
199.94,0.3520811
199.93,0.353327
199.91,0.354822
199.9,0.356317
199.88,0.3565662
199.87,0.3573137
199.83,0.3600546
199.8,0.3603038
199.78,0.3608021
199.77,0.3610513
199.76,0.3615497
199.73,0.3617988
199.6,0.3625463
199.47,0.3627955
199.4,0.3630447
199.2,0.3632939
199.19,0.3660348
199.18,0.3685265
199.17,0.3705199
199.16,0.3735099
199.15,0.3745066
199.14,0.3752542
199.13,0.3762508
199.12,0.3767492
199.11,0.3777459
199.09,0.3779951
199.07,0.3787426
199.05,0.3819818
199.04,0.382231
199.03,0.3824802
198.98,0.3827293
198.93,0.3829785
198.4,0.3834769
198.39,0.3869653
198.38,0.3884603
198.37,0.390952
198.36,0.3921979
198.35,0.3934438
198.34,0.395188
198.33,0.3959355
198.32,0.3964338
198.31,0.396683
198.29,0.3969322
198.27,0.3974305
198.25,0.4011681
198.22,0.4014173
198.21,0.4016665
198.06,0.4021648
198,0.402414
197.74,0.4026632
197.73,0.4029123
197.6,0.4031615
197.59,0.4064007
197.58,0.4078958
197.57,0.4098892
197.56,0.4106367
197.55,0.4123809
197.54,0.4128792
197.53,0.4133776
197.5,0.4141251
197.47,0.4143743
197.46,0.4181119
197.45,0.4186102
197.44,0.4188594
197.42,0.4193577
197.41,0.4196069
197.38,0.4198561
197.37,0.4201053
197.34,0.4203544
197.3,0.4206036
196.8,0.4208528
196.79,0.4230953
196.78,0.4255871
196.77,0.4275804
196.76,0.4303213
196.75,0.4315672
196.74,0.4320655
196.73,0.4328131
196.72,0.4340589
196.71,0.4350556
196.68,0.435554
196.67,0.4360523
196.64,0.438544
