wpm,pctl
199.82,0.2770801
199.78,0.2773293
199.76,0.2775784
199.4,0.2778276
199.2,0.2780768
199.19,0.2808177
199.18,0.2833094
199.17,0.2843061
199.16,0.287047
199.14,0.2875453
199.12,0.288542
199.11,0.2892896
199.09,0.2895387
199.07,0.2897879
199.03,0.2917813
199.01,0.2920305
198.4,0.2925288
198.39,0.2945222
198.38,0.2955189
198.37,0.2962664
198.36,0.2970139
198.35,0.2980106
198.34,0.2995056
198.32,0.300004
198.31,0.3002532
198.29,0.3007515
198.27,0.3012499
198.25,0.3029941
198.24,0.3034924
198.23,0.3037416
198.21,0.3039908
198.16,0.3044891
198.01,0.3047383
198,0.3049874
197.87,0.3052366
197.73,0.3054858
197.6,0.305735
197.59,0.3079775
197.58,0.3084759
197.57,0.3097217
197.56,0.3102201
197.55,0.3109676
197.54,0.3114659
197.53,0.3117151
197.51,0.3124626
197.5,0.3127118
197.49,0.312961
197.47,0.3132101
197.46,0.3164494
197.44,0.3166986
197.42,0.3174461
197.35,0.3176953
197.11,0.3179444
196.8,0.3181936
196.79,0.3204362
196.78,0.3231771
196.77,0.3244229
196.76,0.325918
196.75,0.3271638
196.74,0.327413
196.73,0.3276622
196.72,0.3286589
196.71,0.3291572
196.68,0.3299047
196.67,0.3304031
196.66,0.3323964
196.64,0.3326456
196.63,0.333144
196.62,0.3333931
196.6,0.3336423
196.55,0.3341407
196.53,0.3343898
196.3,0.334639
196.01,0.3348882
196,0.3351373
195.99,0.3381274
195.98,0.34037
195.97,0.3426125
195.96,0.3451043
195.95,0.3463501
195.94,0.3478452
195.92,0.3480943
195.91,0.3488418
195.87,0.3495894
195.86,0.353327
195.85,0.3538253
195.84,0.3540745
195.83,0.3545728
195.79,0.354822
195.78,0.3558187
195.76,0.3560679
195.74,0.356317
195.69,0.3573137
195.68,0.3580612
195.61,0.3583104
195.2,0.3585596
195.19,0.3617988
195.18,0.3640414
195.17,0.3665331
195.16,0.3682773
195.15,0.3702707
195.14,0.3717657
195.13,0.3722641
195.12,0.3735099
195.11,0.3742575
195.1,0.3747558
195.09,0.3755033
195.08,0.3757525
195.07,0.3760017
195.01,0.3792409
195,0.3794901
194.99,0.3799884
194.94,0.3802376
194.85,0.380736
194.81,0.3809851
194.7,0.3812343
194.4,0.3814835
194.39,0.3849719
194.38,0.3864669
194.37,0.3877128
194.36,0.3904537
194.35,0.3929454
194.34,0.3941913
194.33,0.3946896
194.32,0.395188
194.31,0.3969322
194.29,0.3974305
194.28,0.3979289
194.27,0.3984272
194.26,0.4019156
194.23,0.402414
194.22,0.4026632
194.21,0.4029123
194.19,0.4036598
194.14,0.403909
194.13,0.4044074
193.63,0.4046565
193.6,0.4051549
193.59,0.4113842
193.58,0.4143743
193.57,0.4158693
193.56,0.416866
193.55,0.4188594
193.54,0.4211019
193.53,0.4223478
193.52,0.422597
193.51,0.4233445
193.5,0.4243412
193.49,0.4248395
193.48,0.4250887
193.47,0.4255871
193.46,0.4290755
193.45,0.4293246
193.43,0.429823
193.42,0.4303213
193.4,0.4308197
193.39,0.4310689
193.34,0.431318
193.28,0.4315672
192.8,0.4318164
192.79,0.4375473
192.78,0.4397899
192.77,0.4420325
192.76,0.4445242
192.75,0.4475143
192.74,0.4497568
192.73,0.4505043
192.72,0.4512518
192.71,0.4519994
192.69,0.4524977
192.68,0.4529961
192.67,0.4537436
192.66,0.4562353
192.65,0.4567336
192.64,0.4569828
192.62,0.457232
192.61,0.4574812
192.58,0.4577303
192.55,0.4579795
192.51,0.4582287
192.42,0.4584779
192.29,0.458727
192.01,0.4589762
192,0.4592254
191.99,0.4632121
191.98,0.465953
191.97,0.4679464
191.96,0.470189
191.95,0.4714348
191.94,0.4726807
191.93,0.4729299
191.92,0.4739266
191.91,0.4756708
191.9,0.4764183
191.89,0.4766675
191.88,0.477415
191.87,0.4776642
191.85,0.4806542
191.83,0.4809034
191.82,0.4811526
191.81,0.4814017
191.8,0.4819001
191.79,0.4821493
191.78,0.4828968
191.69,0.483146
191.62,0.4833951
191.42,0.4836443
191.2,0.4838935
191.19,0.4896244
191.18,0.4921162
191.17,0.4943587
191.16,0.4973488
191.15,0.499093
191.14,0.5013356
191.13,0.5018339
191.12,0.5025814
191.11,0.5030798
191.1,0.5043256
191.09,0.5058207
191.08,0.506319
191.07,0.5065682
191.06,0.5090599
191.05,0.5095583
191.03,0.5098074
191.02,0.5103058
191,0.510555
190.95,0.5110533
190.93,0.5113025
190.92,0.5115516
190.89,0.5118008
190.87,0.51205
190.4,0.5122992
190.39,0.5187777
190.38,0.5197743
190.37,0.5215186
190.36,0.5232628
190.35,0.5252561
190.34,0.5262528
190.33,0.5274987
190.32,0.5277479
190.31,0.527997
190.3,0.5282462
190.29,0.5287446
190.28,0.5292429
190.27,0.5297413
190.25,0.532233
190.24,0.5324822
190.22,0.5327313
190.21,0.5332297
190.18,0.5334789
190.16,0.533728
190.15,0.5339772
190.12,0.5344755
190.08,0.5347247
190.06,0.5349739
190.05,0.5352231
189.64,0.5354722
189.61,0.5357214
189.6,0.5359706
189.59,0.5412032
189.58,0.54519
189.57,0.5461867
189.56,0.5486784
189.55,0.5504226
189.54,0.5536618
189.53,0.5546585
189.52,0.5561536
189.51,0.5566519
189.5,0.5571503
189.49,0.558147
189.48,0.5588945
189.47,0.5591436
189.45,0.5608879
189.44,0.561137
189.42,0.5613862
189.41,0.5616354
189.35,0.5623829
189.3,0.5626321
189.22,0.5631304
189.2,0.5633796
188.81,0.5636288
188.8,0.5638779
188.79,0.5686122
188.78,0.5703564
188.77,0.572599
188.76,0.5750907
188.75,0.5770841
188.74,0.5785791
188.73,0.5803233
188.72,0.5815692
188.71,0.5828151
188.69,0.5835626
188.68,0.5838117
188.67,0.5843101
188.66,0.5877985
188.64,0.588546
188.63,0.5887952
188.62,0.5897919
188.61,0.5900411
188.6,0.5902902
188.57,0.5905394
188.55,0.5907886
188.53,0.5910378
188.49,0.5912869
188.42,0.5915361
188.38,0.5917853
188.01,0.5920344
188,0.5922836
187.99,0.5997588
187.98,0.6039947
187.97,0.6057389
187.96,0.608729
187.95,0.6097257
187.94,0.6114699
187.93,0.6134633
187.92,0.6137125
187.91,0.6139616
187.9,0.6162042
187.89,0.6172009
187.88,0.6179484
187.87,0.6186959
187.86,0.6236794
187.85,0.6244269
187.84,0.6246761
187.83,0.6249252
187.82,0.6251744
187.81,0.6254236
187.8,0.6256728
187.75,0.6259219
187.72,0.6264203
187.45,0.6266695
187.28,0.6269186
187.2,0.6271678
187.19,0.6341446
187.18,0.6393773
187.17,0.6431149
187.16,0.6461049
187.15,0.649095
187.14,0.6508392
187.13,0.6510884
187.11,0.6525834
187.1,0.6533309
187.09,0.6540785
187.08,0.6545768
187.07,0.6575669
187.05,0.6583144
187.04,0.6585636
187.03,0.6593111
187.02,0.6598094
187.01,0.6600586
187,0.6603078
186.96,0.660557
186.95,0.6608061
186.91,0.662052
186.89,0.6623012
186.83,0.6625503
186.76,0.6627995
186.7,0.6630487
186.4,0.6632979
186.39,0.6702747
186.38,0.6737631
186.37,0.6762548
186.36,0.6789957
186.35,0.6817366
186.34,0.68373
186.33,0.6849759
186.32,0.6852251
186.31,0.6864709
186.3,0.6882151
186.29,0.6889626
186.28,0.6899593
186.27,0.6936969
186.26,0.6944444
186.24,0.695192
186.23,0.6956903
186.19,0.6959395
186.15,0.6961887
186.08,0.6969362
186.02,0.6971853
185.95,0.6974345
185.6,0.6976837
185.59,0.7059064
185.58,0.709644
185.57,0.7141291
185.56,0.71687
185.55,0.7196109
185.54,0.7213551
185.53,0.7233485
185.52,0.7253419
185.51,0.7263386
185.5,0.7278336
185.49,0.7280828
185.48,0.7288303
185.47,0.7360563
185.46,0.7368038
185.45,0.7373022
185.44,0.738548
185.43,0.7387972
185.42,0.7390464
185.41,0.7395447
185.4,0.7397939
185.39,0.7400431
185.37,0.7402922
185.35,0.7407906
185.28,0.7412889
185.27,0.7415381
184.8,0.7417873
184.79,0.7495116
184.78,0.753
184.77,0.7559901
184.76,0.757236
184.75,0.7604752
184.74,0.7642128
184.73,0.765957
184.72,0.7679504
184.71,0.7696946
184.7,0.7709405
184.69,0.7714388
184.68,0.7724355
184.67,0.7771698
184.66,0.7779173
184.64,0.7784157
184.62,0.7786648
184.6,0.778914
184.57,0.7796615
184.56,0.7799107
184.55,0.7801599
184.53,0.7806582
184.5,0.7814057
184.43,0.7816549
184.42,0.7819041
184.34,0.7821533
184,0.7824024
183.99,0.7906251
183.98,0.7956086
183.97,0.7998445
183.96,0.8028346
183.95,0.8053263
183.94,0.8073197
183.93,0.8103098
183.92,0.8125523
183.91,0.813549
183.9,0.8152932
183.89,0.8170374
183.88,0.8180341
183.87,0.825011
183.86,0.8257585
183.85,0.8262568
183.84,0.826506
183.83,0.8267552
183.81,0.8272535
183.77,0.8275027
183.71,0.8277519
183.68,0.828001
183.67,0.8282502
183.63,0.8284994
183.55,0.8287486
183.51,0.8289977
183.45,0.8294961
183.39,0.8297452
183.2,0.8299944
183.19,0.8369713
183.18,0.8414564
183.17,0.845194
183.16,0.8489315
183.15,0.8519216
183.14,0.8551609
183.13,0.8584001
183.12,0.8606427
183.11,0.8613902
183.1,0.8623869
183.09,0.8631344
183.08,0.8633836
183.06,0.8701112
183.05,0.8706096
183.03,0.8711079
183.02,0.8713571
182.99,0.8718554
182.96,0.8721046
182.95,0.8733505
182.88,0.8735996
182.76,0.8738488
182.4,0.874098
182.39,0.8805765
182.38,0.8878025
182.37,0.8955269
182.36,0.8980186
182.35,0.9012578
182.34,0.9042479
182.33,0.9062413
182.32,0.9082347
182.31,0.9094805
182.3,0.9109756
182.29,0.9119723
182.28,0.9127198
182.27,0.9204441
182.26,0.9211916
182.25,0.92169
182.23,0.9221883
182.22,0.923185
182.21,0.9234342
182.18,0.9241817
182.17,0.9244309
182.16,0.9246801
182.12,0.9251784
182.11,0.9254276
182.04,0.9256768
181.91,0.9264243
181.83,0.9266734
181.8,0.9269226
181.6,0.9271718
181.59,0.9373879
181.58,0.9428697
181.57,0.9468564
181.56,0.9508432
181.55,0.9538333
181.54,0.9560758
181.53,0.95782
181.52,0.9613085
181.51,0.9623051
181.5,0.9633018
181.49,0.9645477
181.48,0.9652952
181.46,0.9720229
181.45,0.9725212
181.44,0.9727704
181.43,0.9730196
181.42,0.9742654
181.41,0.9747638
181.4,0.975013
181.39,0.9752621
181.37,0.9757605
181.36,0.9760096
181.34,0.9762588
181.32,0.976508
181.24,0.9767572
181.18,0.9770063
180.83,0.9772555
180.8,0.9775047
180.79,0.9872224
180.78,0.99096
180.77,0.996691
180.76,1.000678
180.75,1.005661
180.74,1.010146
180.73,1.014881
180.72,1.01812
180.71,1.019366
180.7,1.019864
180.69,1.021359
180.68,1.022356
180.67,1.029083
180.66,1.029831
180.65,1.030578
180.64,1.030828
180.63,1.031326
180.62,1.032323
180.61,1.032572
180.6,1.032821
180.58,1.03307
180.56,1.033319
180.55,1.034565
180.45,1.034814
180.44,1.035064
180.41,1.035562
180.34,1.035811
180.32,1.03606
180.2,1.036559
180.01,1.036808
180,1.037057
179.99,1.049516
179.98,1.054499
179.97,1.059483
179.96,1.062722
179.95,1.065961
179.94,1.070446
179.93,1.073187
179.92,1.074682
179.9,1.076426
179.89,1.076675
179.88,1.077672
179.87,1.083403
179.86,1.083901
179.85,1.0844
179.84,1.084649
179.82,1.084898
179.81,1.086393
179.76,1.086892
179.74,1.088387
179.72,1.088636
179.71,1.088885
179.64,1.089134
179.55,1.090131
179.39,1.09038
179.21,1.090629
179.2,1.091127
179.19,1.103586
179.18,1.110563
179.17,1.116543
179.16,1.12053
179.15,1.124267
179.14,1.128503
179.13,1.129998
179.12,1.132988
179.11,1.133985
179.1,1.134982
179.09,1.136228
179.08,1.138221
179.07,1.144949
179.06,1.145696
179.05,1.146444
179.04,1.146693
179.03,1.14769
179.01,1.148188
179,1.148686
178.99,1.149185
178.98,1.149434
178.96,1.149683
178.94,1.149932
178.78,1.150181
178.69,1.150431
178.6,1.15068
178.49,1.150929
178.4,1.151178
178.39,1.162889
178.38,1.169617
178.37,1.175846
178.36,1.178587
178.35,1.181328
178.34,1.185813
178.33,1.187806
178.32,1.189551
178.31,1.191046
178.3,1.192541
178.29,1.194036
178.28,1.195531
178.27,1.203006
178.26,1.203754
178.24,1.204003
178.23,1.204501
178.22,1.205498
178.21,1.206494
178.19,1.206993
178.16,1.207491
178.14,1.209485
178.05,1.209983
177.81,1.210232
177.6,1.210481
177.59,1.223687
177.58,1.228172
177.57,1.234651
177.56,1.238139
177.55,1.24387
177.54,1.248355
177.53,1.250847
177.52,1.252591
177.51,1.254585
177.5,1.255831
177.49,1.256578
177.48,1.258322
177.47,1.267293
177.46,1.267791
177.45,1.268538
177.44,1.269286
177.43,1.270033
177.42,1.270532
177.41,1.272276
177.4,1.272525
177.36,1.272774
177.35,1.273522
177.32,1.273771
177.25,1.27402
177.22,1.275017
177.14,1.275266
176.98,1.275515
176.81,1.275764
176.8,1.276014
176.79,1.288721
176.78,1.298688
176.77,1.306164
176.76,1.311396
176.75,1.315881
176.74,1.31937
176.73,1.321363
176.72,1.323107
176.71,1.324104
176.7,1.325101
176.69,1.325599
176.68,1.326347
176.67,1.333074
176.66,1.333573
176.64,1.33432
176.62,1.335068
176.59,1.335566
176.58,1.335815
176.57,1.336563
176.56,1.336812
176.47,1.338058
176.45,1.338556
176.39,1.339054
176.21,1.339304
176.1,1.339553
176,1.339802
175.99,1.355998
175.98,1.362975
175.97,1.369204
175.96,1.372194
175.95,1.378673
175.94,1.38241
175.93,1.385151
175.92,1.386646
175.91,1.389886
175.9,1.391131
175.89,1.392377
175.88,1.393374
175.87,1.401846
175.84,1.402344
175.83,1.403092
175.82,1.403341
175.81,1.404587
175.8,1.405334
175.77,1.405833
175.75,1.407078
175.74,1.407328
175.72,1.407577
175.66,1.407826
175.65,1.408324
175.63,1.408823
175.6,1.409072
175.54,1.409321
175.53,1.40957
175.44,1.409819
175.42,1.410069
175.2,1.410567
175.19,1.420783
175.18,1.427012
175.17,1.436232
175.16,1.439471
175.15,1.444205
175.14,1.447694
175.13,1.450933
175.12,1.453674
175.11,1.455418
175.1,1.456664
175.09,1.456913
175.08,1.458906
175.07,1.46688
175.06,1.467627
175.05,1.469123
175.04,1.469372
175.03,1.470368
175.02,1.471116
175.01,1.471614
175,1.471863
174.97,1.472362
174.94,1.473857
174.85,1.474106
174.66,1.474853
174.41,1.475103
174.4,1.47585
174.39,1.489804
174.38,1.497777
174.37,1.507246
174.36,1.512977
174.35,1.51821
174.34,1.521947
174.33,1.526432
174.32,1.529422
174.31,1.530917
174.3,1.533409
174.29,1.535402
174.28,1.535901
174.27,1.546615
174.26,1.546864
174.25,1.547612
174.22,1.549107
174.21,1.549605
174.19,1.550104
174.18,1.550353
174.17,1.550602
174.11,1.551848
174.1,1.552097
174.06,1.552346
174.05,1.552845
174.03,1.553592
174.02,1.553841
173.99,1.55434
173.98,1.554589
173.94,1.554838
173.71,1.555087
173.6,1.555336
173.59,1.573775
173.58,1.583742
173.57,1.591716
173.56,1.598443
173.55,1.604174
173.54,1.609158
173.53,1.613394
173.52,1.615885
173.51,1.619374
173.5,1.62062
173.49,1.622364
173.48,1.622613
173.47,1.631085
173.46,1.631832
173.44,1.633577
173.43,1.633826
173.42,1.634573
173.4,1.634822
173.39,1.635072
173.37,1.635321
173.36,1.636068
173.33,1.636317
173.32,1.636567
173.31,1.636816
173.3,1.637065
173.29,1.637314
173.25,1.637563
173.24,1.637812
173.19,1.638062
173.14,1.638311
173.09,1.638809
172.91,1.639058
172.8,1.639307
172.79,1.654258
172.78,1.665969
172.77,1.675687
172.76,1.684159
172.75,1.68989
172.74,1.694375
172.73,1.696866
172.72,1.699607
172.71,1.701352
172.7,1.702847
172.69,1.704591
172.68,1.705587
172.67,1.717299
172.66,1.719043
172.65,1.719541
172.64,1.721036
172.63,1.721285
172.62,1.721784
172.61,1.722033
172.6,1.72303
172.58,1.723777
172.57,1.724026
172.56,1.725521
172.54,1.72577
172.51,1.726269
172.48,1.726518
172.47,1.726767
172.46,1.727016
172.35,1.727515
172.33,1.727764
172.28,1.728013
172.23,1.728262
172.18,1.728511
172,1.728761
171.99,1.748196
171.98,1.762897
171.97,1.773861
171.96,1.781834
171.95,1.788562
171.94,1.793545
171.93,1.796037
171.92,1.800024
171.91,1.80127
171.9,1.802765
171.89,1.805755
171.88,1.814974
171.87,1.815722
171.86,1.815971
171.85,1.817964
