diff,pctl
22,0.4405633
22,0.4408169
22,0.4410705
21.99,0.4418314
21.99,0.4438605
21.99,0.4446214
21.99,0.4469041
21.8,0.4471578
21.8,0.4499478
21.8,0.4514696
21.8,0.458825
21.79,0.4595859
21.79,0.4600931
21.79,0.4613613
21.79,0.4616149
21.78,0.4638977
21.6,0.4641513
21.6,0.4649122
21.6,0.4717603
21.6,0.4732821
21.6,0.4821593
21.59,0.482413
21.59,0.4857102
21.59,0.4859639
21.4,0.4869784
21.4,0.487232
21.4,0.4963629
21.4,0.4966165
21.4,0.498392
21.4,0.5047328
21.39,0.5049865
21.39,0.5098055
21.39,0.5100591
21.37,0.5108201
21.2,0.5110737
21.2,0.5120882
21.2,0.5196973
21.2,0.5199509
21.2,0.5209654
21.19,0.5237554
21.19,0.52477
21.19,0.5250236
21,0.5283208
21,0.5293354
21,0.5306035
21,0.5308572
21,0.548358
21,0.5486116
20.99,0.5496261
20.99,0.551148
20.99,0.5516552
20.8,0.5534307
20.8,0.558757
20.8,0.5602788
20.8,0.5734678
20.79,0.5742287
20.79,0.5744823
20.79,0.576765
20.79,0.5777796
20.76,0.5793014
20.6,0.579555
20.6,0.5798087
20.6,0.5843741
20.6,0.5866568
20.59,0.5998458
20.59,0.6003531
20.59,0.605933
20.59,0.6064403
20.4,0.6066939
20.4,0.6193757
20.4,0.6211511
20.4,0.6282529
20.39,0.6285065
20.39,0.6287601
20.39,0.632311
20.38,0.6325647
20.2,0.6328183
20.2,0.6338328
20.2,0.6457536
20.2,0.6480364
20.19,0.6531091
20.19,0.65387
20.19,0.6543772
20.18,0.6581817
20.17,0.6584354
20,0.658689
20,0.6589426
20,0.6591963
20,0.6599572
20,0.6805016
20,0.6812625
19.99,0.6817698
19.99,0.6832916
19.99,0.6840525
19.99,0.6858279
19.8,0.6868425
19.8,0.6916615
19.8,0.6936906
19.8,0.7061187
19.79,0.7078941
19.79,0.7081478
19.79,0.7106841
19.79,0.711445
19.78,0.7155032
19.6,0.7157568
19.6,0.7223513
19.6,0.7243804
19.6,0.724634
19.59,0.7390912
19.59,0.7431493
19.58,0.7441639
19.47,0.7444175
19.4,0.7446711
19.4,0.7596356
19.4,0.764201
19.4,0.7695273
