delta,pctl
78.7802,5.952239
78.76002,5.952737
78.75329,5.959963
78.73535,5.961458
78.71467,5.966441
78.59631,5.973169
78.56018,6.015279
78.50785,6.030479
78.43136,6.046177
78.29979,6.071343
78.04863,6.110463
78.04688,6.187707
78.04539,6.187956
78.04514,6.188704
78.04439,6.188953
78.04389,6.1897
78.0419,6.189949
78.03941,6.190199
78.03891,6.190448
78.03094,6.190946
78.02919,6.193687
78.0262,6.194434
78.02371,6.195431
78.00452,6.19568
77.9978,6.20191
77.98833,6.204401
77.97363,6.206644
77.95419,6.210132
77.82811,6.216362
77.79572,6.253987
77.7419,6.262957
77.66989,6.282143
77.52935,6.30407
77.29289,6.34643
77.29164,6.411713
77.29139,6.411962
77.28915,6.412211
77.2889,6.412461
77.28815,6.41271
77.28691,6.413208
77.28541,6.413457
77.27993,6.413706
77.27918,6.414703
77.27619,6.415451
77.24903,6.415949
77.2448,6.423923
77.23483,6.425418
77.21988,6.428657
77.1997,6.43364
77.0796,6.440368
77.04023,6.472511
76.98989,6.487462
76.90916,6.503907
76.78084,6.531067
76.53765,6.574174
76.53665,6.648926
76.5354,6.649175
76.53266,6.649922
76.53191,6.650919
76.53092,6.651168
76.52992,6.651417
76.52419,6.651916
76.5207,6.653411
76.51846,6.65366
76.51671,6.654657
76.49628,6.655155
76.49005,6.661384
76.48108,6.663128
76.46439,6.666118
76.44047,6.672846
76.30342,6.681318
76.25832,6.724674
76.20002,6.741369
76.12452,6.759558
75.99644,6.783977
75.74403,6.828081
75.74378,6.905823
75.74054,6.906072
75.74004,6.906819
75.73905,6.907069
75.7373,6.907318
75.73655,6.907816
75.73356,6.908564
75.72659,6.909311
75.7241,6.911803
75.7231,6.91255
75.7216,6.9128
75.69918,6.913796
75.69345,6.919029
75.68248,6.920773
75.66753,6.925009
75.63664,6.930989
75.50657,6.941704
75.45947,6.983066
75.40491,7.002253
75.32368,7.02094
75.19062,7.046854
74.94443,7.085227
74.94369,7.161723
74.94344,7.161972
74.94269,7.162221
74.94045,7.162471
74.93895,7.162969
74.93646,7.163218
74.93596,7.163716
74.93571,7.163966
74.93422,7.164215
74.93372,7.164464
74.92899,7.164713
74.92724,7.166208
74.926,7.166707
74.92251,7.167205
74.90208,7.168202
74.89609,7.175178
74.88339,7.177172
74.86495,7.181159
74.84178,7.18689
74.70872,7.194365
74.66885,7.230993
74.61004,7.245445
74.51885,7.264881
74.37682,7.297273
74.14883,7.341626
74.14833,7.408902
74.14783,7.409152
74.14758,7.409401
74.14708,7.40965
74.14658,7.410148
74.14608,7.410397
74.14559,7.410647
74.14384,7.410896
74.14334,7.411145
74.13986,7.411394
74.13811,7.412142
74.13437,7.412889
74.13188,7.413637
74.12939,7.414135
74.1264,7.414384
74.10198,7.41563
74.0955,7.423853
74.08504,7.425597
74.0656,7.428089
74.03969,7.434567
73.90713,7.444036
73.86527,7.485897
73.80871,7.499601
73.72573,7.520532
73.57473,7.547442
73.34499,7.595284
73.34225,7.66854
73.34076,7.66879
73.34001,7.669039
73.33976,7.669288
73.33901,7.669537
73.33627,7.669786
73.33553,7.671032
73.33378,7.671281
73.33279,7.671531
73.3273,7.67178
73.32431,7.672278
73.32357,7.672776
73.32182,7.673026
73.30039,7.673524
73.29441,7.680501
73.28195,7.683491
73.26127,7.687976
73.2371,7.694704
73.10305,7.704172
73.06418,7.745535
73.00263,7.758243
72.92165,7.779173
72.77339,7.803841
72.55163,7.853925
72.55138,7.932664
72.55088,7.932913
72.55013,7.933162
72.54889,7.93366
72.54814,7.934408
72.54714,7.934657
72.54689,7.934906
72.5449,7.935155
72.54415,7.935404
72.53792,7.935654
72.53319,7.937149
72.53145,7.938644
72.52846,7.939142
72.50927,7.940139
72.50379,7.94587
72.49058,7.948112
72.4704,7.95185
72.44349,7.959823
72.31541,7.968794
72.2743,8.008661
72.20951,8.022117
72.11956,8.042798
71.9743,8.072699
71.73708,8.116802
71.73634,8.197534
71.73534,8.197783
71.73459,8.198282
71.73434,8.198531
71.7331,8.19878
71.72986,8.199029
71.72288,8.199777
71.72213,8.201272
71.71939,8.201521
71.71516,8.202019
71.69447,8.202767
71.68874,8.209494
71.67329,8.211239
71.65436,8.217966
71.63019,8.224943
71.49713,8.233913
71.45776,8.279263
71.39198,8.289977
71.29879,8.311406
71.15078,8.34031
70.92079,8.391889
70.92054,8.466392
70.9193,8.466641
70.9188,8.46689
70.91755,8.467139
70.9173,8.467388
70.91681,8.467637
70.91431,8.467887
70.91307,8.468136
70.91207,8.468883
70.91132,8.469382
70.90435,8.469631
70.9036,8.471624
70.90186,8.471873
70.90036,8.472123
70.89762,8.472372
70.87794,8.473618
70.87445,8.479349
70.86747,8.480345
70.85327,8.482339
70.83508,8.487571
70.81514,8.493302
70.67561,8.498286
70.63549,8.546376
70.57743,8.560081
70.49546,8.579765
70.33623,8.607174
70.09404,8.663986
70.09354,8.743721
70.0918,8.74397
70.09105,8.744219
70.09005,8.744468
70.0898,8.744718
70.08905,8.744967
70.08856,8.745216
70.08831,8.745465
70.08606,8.745714
70.08507,8.746462
70.08332,8.74696
70.07709,8.747209
70.07585,8.748704
70.07311,8.748953
70.07086,8.750199
70.06862,8.751196
70.04669,8.751944
70.04096,8.75892
70.03075,8.760415
70.02003,8.764651
69.99985,8.767891
69.97294,8.774369
69.83515,8.784336
69.79005,8.82844
69.72103,8.843888
69.62609,8.868806
69.48157,8.900451
69.22941,8.951531
69.22841,9.035004
69.22791,9.035502
69.22766,9.035751
69.22642,9.036
69.22592,9.03625
69.22467,9.036499
69.22393,9.036997
69.22293,9.037246
69.22119,9.037496
69.22044,9.038243
69.21869,9.038741
69.21122,9.038991
69.20947,9.040984
69.20723,9.041731
69.20524,9.04223
69.20225,9.042728
69.17359,9.043974
69.16886,9.053193
69.15715,9.054938
69.14145,9.059423
69.12525,9.064406
69.09785,9.071134
68.95133,9.079606
68.90299,9.125453
68.8402,9.142397
68.74676,9.164574
68.5843,9.197215
68.33089,9.256269
68.32965,9.341735
68.3289,9.342234
68.32815,9.342483
68.3279,9.342981
68.32765,9.34323
68.32715,9.34348
68.32666,9.343729
68.32641,9.343978
68.32591,9.344227
68.32516,9.344726
68.32217,9.345224
68.32142,9.346719
68.31968,9.347466
68.31893,9.348214
68.31818,9.348463
68.31445,9.348712
68.31345,9.350207
68.31195,9.350456
68.30872,9.350706
68.30523,9.351952
68.2833,9.352948
68.27732,9.360423
68.2676,9.362168
68.25041,9.366154
68.22699,9.371636
68.20132,9.380856
68.04683,9.387583
68.00448,9.439162
67.93346,9.453863
67.83529,9.482269
67.68055,9.516406
67.43437,9.568732
67.43412,9.657686
67.43262,9.657936
67.43213,9.658434
67.43188,9.658683
67.43138,9.658932
67.43113,9.659182
67.42864,9.659431
67.42664,9.659929
67.42639,9.660427
67.4259,9.660677
67.4249,9.660926
67.4239,9.661673
67.42216,9.661922
67.41618,9.662421
67.41518,9.664912
67.41394,9.665162
67.41194,9.665909
67.4097,9.666408
67.38229,9.667155
67.37681,9.677122
67.36834,9.679115
67.35413,9.681607
67.33295,9.687338
67.30679,9.69581
67.16501,9.707023
67.12116,9.752123
67.05612,9.769316
66.96119,9.791991
66.80894,9.828121
66.54632,9.88543
66.54557,9.973887
66.54333,9.974136
66.54158,9.974634
66.53959,9.974883
66.53884,9.975133
66.53735,9.975382
66.5366,9.97588
66.53635,9.976378
66.5356,9.976628
66.52862,9.977126
66.52788,9.980116
66.52713,9.980365
66.52464,9.980614
66.52215,9.981113
66.51965,9.982359
66.49449,9.983355
66.48826,9.992824
66.4763,9.994319
66.46035,9.997558
66.43942,10.00379
66.30088,10.01052
66.27596,10.05337
66.22688,10.06135
66.15985,10.07879
66.06591,10.10545
65.91167,10.13685
65.66599,10.19615
65.664,10.27788
65.66375,10.27813
65.6625,10.27838
65.66125,10.27887
65.66026,10.27937
65.65677,10.27987
65.65552,10.28037
65.65378,10.28087
65.6488,10.28112
65.6478,10.28286
65.6468,10.28336
65.64456,10.28411
65.64207,10.2851
65.63858,10.28585
65.6184,10.2866
65.61316,10.29407
65.60195,10.29557
65.58551,10.30005
65.56208,10.30877
65.41906,10.31799
65.38517,10.36833
65.33907,10.38153
65.26258,10.40022
65.17736,10.42813
65.00743,10.45952
64.74903,10.51958
64.74853,10.60429
64.74804,10.60454
64.74729,10.60479
64.74679,10.60504
64.7448,10.60529
64.7443,10.60604
64.74206,10.60629
64.74106,10.60778
64.73981,10.60803
64.73907,10.60853
64.73184,10.60903
64.73059,10.61127
64.7301,10.61152
64.72885,10.61177
64.72686,10.61202
64.72511,10.61277
64.6982,10.61301
64.69222,10.62149
64.6835,10.62373
64.66531,10.62722
64.64488,10.63395
64.50659,10.64117
64.47145,10.68004
64.42934,10.692
64.35983,10.70571
64.26065,10.73187
64.10268,10.76725
63.84952,10.83129
63.84902,10.91925
63.84877,10.91975
63.84802,10.92
63.84678,10.92024
63.84553,10.92049
63.84528,10.92099
63.84503,10.92124
63.84354,10.92149
63.84304,10.92174
63.84279,10.92199
63.84005,10.92224
63.8398,10.92348
63.83831,10.92373
63.83806,10.92398
63.83208,10.92423
63.83158,10.92498
63.82934,10.92548
63.82734,10.92598
63.8261,10.92647
63.82286,10.92697
63.79346,10.92797
63.78698,10.93843
63.77427,10.94043
63.75782,10.94566
63.73042,10.95239
63.59337,10.9646
63.55574,11.0092
63.51139,11.02166
63.44038,11.03736
63.34868,11.06352
