rank,name,wpm,raw,accuracy,consistency,diff
152,kezia,136.18,136.18,98.98,78.97,0.00
153,Mafoo,136.00,141.80,97.49,75.30,5.80
154,clodrc,136.00,145.40,94.84,79.38,9.40
155,phibby,135.80,135.80,98.41,84.61,0.00
156,tckrysis,135.80,143.80,97.09,84.09,8.00
157,Toshiki_Kai,135.80,153.80,93.41,84.71,18.00
158,miregowwww,135.79,141.19,97.35,79.42,5.40
159,justjim,135.59,135.99,97.99,76.19,0.40
160,RND_RandoM,135.59,135.59,96.48,79.27,0.00
161,sandsunderman,135.40,139.00,97.74,76.19,3.60
162,HamP_punipuni,135.40,144.79,96.44,80.31,9.39
163,toriismydawg,135.39,148.78,94.03,78.14,13.39
164,enriko,135.19,146.19,96.17,87.68,11.00
165,Uson,135.18,137.58,97.31,71.09,2.40
166,rimil210,135.00,140.80,97.06,77.84,5.80
167,TheChristoAlex,134.98,136.37,98.12,84.48,1.39
168,MisterRoo2000,134.98,142.18,96.20,88.49,7.20
169,LegendaryADX,134.79,147.19,95.79,87.04,12.40
170,Saiyayaya,134.60,142.40,95.57,78.92,7.80
171,tootle3150,134.40,147.60,95.66,70.98,13.20
172,Lambster,134.39,140.59,96.77,80.82,6.20
173,mmorangutan,134.39,142.79,96.66,81.00,8.40
174,chrisk002,134.20,143.40,95.97,81.30,9.20
175,Soems,134.00,138.80,97.70,84.97,4.80
176,BarryCode,133.99,140.99,97.03,84.54,7.00
177,DOMAiN_22,133.80,137.80,97.13,77.15,4.00
178,hakseoskl,133.58,144.78,94.68,82.82,11.20
179,jaa1,133.38,138.58,97.41,80.27,5.20
180,Sniberus,133.38,138.58,97.27,78.29,5.20
181,skipispoop,133.19,134.39,98.38,80.38,1.20
182,Makonke,132.79,139.79,97.28,85.74,7.00
183,Natuephile,132.59,134.59,96.40,74.04,2.00
184,DaBluePiano,132.59,141.18,95.93,85.26,8.59
185,Franco123,132.18,137.38,95.64,75.75,5.20
186,fwoggy,131.79,137.19,97.41,81.46,5.40
187,aananbiswas,131.40,135.60,96.93,81.89,4.20
188,GiantMvffinMan,131.39,133.79,97.37,77.60,2.40
189,AizenTyper,131.39,136.19,96.39,76.66,4.80
190,alinaiscool,131.37,133.57,97.65,75.28,2.20
191,adgvkty_colemak,131.00,132.20,97.64,75.06,1.20
192,kaliflower03,130.98,136.57,97.95,83.48,5.59
193,vetbaited,130.97,131.57,95.78,75.74,0.60
194,sohraab03,130.80,134.20,97.21,76.92,3.40
195,SafeToris,130.59,135.99,97.65,86.27,5.40
196,TensorFlow,130.59,140.59,96.73,82.13,10.00
197,Niorbu,130.59,140.99,95.32,85.88,10.40
198,erberum,130.20,137.60,96.66,86.08,7.40
199,monkey0401,130.20,136.40,94.63,71.68,6.20
200,bhajiboi,130.19,131.99,97.04,80.82,1.80
201,bluedwarf,130.19,150.99,92.05,87.16,20.80
202,IromNiz,130.00,134.80,97.93,84.55,4.80
203,Aurelian_,130.00,138.00,95.70,78.62,8.00
204,Fikho,130.00,147.40,92.08,76.65,17.40
205,Brasi,129.77,137.37,95.98,82.42,7.60
206,nnyxx,129.60,152.80,90.18,87.35,23.20
207,junjunSanOP,129.59,136.39,95.27,76.25,6.80
208,zevolish,129.59,132.99,94.29,77.49,3.40
209,LQR_WhiskeY,129.58,135.58,95.53,71.88,6.00
210,yaya_w,129.39,132.59,97.91,82.30,3.20
211,onykz,129.20,141.79,95.20,81.30,12.59
212,squattings4848,129.17,129.17,97.05,75.62,0.00
213,Kaboo,128.78,128.78,97.88,75.66,0.00
214,blurry03,128.76,138.95,94.74,81.47,10.19
215,Km10_,128.59,131.19,98.78,85.52,2.60
216,Silkey,128.59,128.59,98.78,84.95,0.00
217,MakerMispell,128.59,129.39,97.88,78.42,0.80
218,saidorrois,128.59,128.59,96.84,74.36,0.00
219,ccccalvin,128.58,132.78,96.46,77.19,4.20
220,Daniel7,128.58,139.97,93.13,72.73,11.39
221,Acactus,128.40,129.60,97.13,81.72,1.20
222,saimike,128.39,133.79,97.16,88.44,5.40
223,xen0v7,128.00,135.80,95.46,79.39,7.80
224,CWU,127.99,133.39,97.46,81.34,5.40
225,DJNT,127.98,135.98,96.18,85.45,8.00
226,cyan17All,127.60,129.60,98.17,78.49,2.00
227,VaporShift,127.60,131.20,97.31,80.16,3.60
228,XMRminer,127.60,143.40,93.24,77.93,15.80
229,craqd,127.59,127.59,100.00,88.62,0.00
230,hiroui,127.58,143.98,93.41,80.88,16.40
231,zeeJ,127.40,127.40,99.53,83.52,0.00
232,CoderZK,127.20,131.00,96.16,73.02,3.80
233,MochaFrappuccino,127.20,157.20,88.42,85.20,30.00
234,Rjxhsbzbd,127.19,144.98,94.10,79.30,17.79
235,Zikting,127.19,144.99,93.52,82.89,17.80
236,stronglytypedOG,127.00,127.00,97.41,77.30,0.00
237,vanish2009,127.00,131.00,97.29,78.82,4.00
238,donnahaditcoming,127.00,127.00,94.39,75.37,0.00
239,Sxra,126.99,128.19,97.16,82.23,1.20
240,Zarathustra,126.79,143.19,93.99,86.24,16.40
