rank,name,wpm,raw,accuracy,consistency,diff
980,puneri,95.40,95.40,100.00,85.04,0.00
981,jacky.jt,95.40,95.40,97.55,73.04,0.00
982,trainingcuber,95.40,95.40,96.96,76.49,0.00
983,chris2022,95.40,100.00,94.58,71.49,4.60
984,vaughnmcman,95.40,100.20,94.47,72.67,4.80
985,evilmercy,95.39,95.39,96.98,80.27,0.00
986,akram.sherif.90,95.39,102.59,94.81,77.84,7.20
987,Begzodasidev,95.36,95.36,99.38,81.46,0.00
988,Divine_,95.20,106.40,92.71,69.36,11.20
989,v_va,95.19,96.79,97.18,75.12,1.60
990,rohitzerofour,95.19,95.19,97.17,74.49,0.00
991,Joshinon,95.15,95.35,95.60,67.46,0.20
992,naavid,95.00,101.00,96.65,78.89,6.00
993,Yogesh101,94.99,94.99,98.96,67.36,0.00
994,subesz,94.99,94.99,98.34,77.61,0.00
995,hannahraahB108,94.80,94.80,97.94,78.66,0.00
996,ericwalkman,94.80,94.80,96.94,78.42,0.00
997,ren_away,94.80,94.80,95.03,76.64,0.00
998,masonshope,94.80,105.60,94.73,63.12,10.80
999,hex_code_7cf,94.79,94.79,100.00,81.70,0.00
1000,KingYayan,94.79,94.79,99.17,75.42,0.00
