name,wpm,raw,accuracy,consistency,diff
husanboy,93.59,95.39,94.23,68.59,1.8
ALI_SSS,84.79,84.79,94.07,68.59,0
ogratordo,88.59,92.39,89.92,68.6,3.8
jasonbrody007,67,68,96.88,68.66,1
TheKING01,66.99,66.99,97.38,68.66,0
H2OEnjoyer,93.6,107.4,90.11,68.67,13.8
KingsRequiem,80.2,80.2,97.13,68.67,0
dwo,62,65,96.64,68.68,3
Cathedral,93.38,94.58,98.14,68.68,1.2
yashasar,64.59,65.19,93.14,68.68,0.6
bbu,62,62,96.28,68.72,0
Knight_1567,77.6,77.6,94.69,68.73,0
jayesh3,83.8,85.6,91.61,68.78,1.8
hwoo,61.79,61.79,93.47,68.81,0
BabyRichelle,74.79,75.79,94.81,68.85,1
Femecritica,64.79,64.79,94.22,68.92,0
a1oney,67.4,67.4,92.16,68.93,0
nightwolf027,88,88.2,96.71,68.94,0.2
Oaladejebi,76.4,84.6,93.01,68.96,8.2
ButPar,94.4,94.4,95.58,69.03,0
sara_tancredi,58,58,95.72,69.03,0
Toshien,69.19,71.59,94.03,69.06,2.4
wminish,63.8,63.8,96.08,69.15,0
bexacoder,69.6,70.8,93.88,69.19,1.2
StephenChih,82.38,99.38,87.45,69.21,17
jafeth44,76.99,76.99,96.74,69.21,0
ju_mbo,82.2,87.2,92.94,69.28,5
_lerolero_,87.58,98.18,90.49,69.3,10.6
OneBit_10,73.39,73.39,94.62,69.3,0
only1lucifer,58.79,58.79,95.45,69.31,0
uncledre20,74.6,91.4,88.49,69.33,16.8
S_Prakash10,85.79,85.79,97.06,69.45,0
RufaidaTampipi,62,62,98.11,69.47,0
rushydubdub,96.6,109,90.83,69.49,12.4
MdNehal47,92.4,105.8,91.9,69.51,13.4
keela_vamshi,83.8,83.8,96.17,69.57,0
speedster07,58.99,68.59,89.8,69.58,9.6
fanmamanan,87,87,94.02,69.59,0
Fequwu,71.4,72.6,95.01,69.6,1.2
Panama0,71.4,72.8,96.31,69.62,1.4
Shahreyar,71.6,71.6,94.56,69.65,0
hack4peace,87.39,90.39,95.53,69.69,3
fhd32,70.2,72.4,94.69,69.79,2.2
owenwells544,93.58,94.98,96.52,69.8,1.4
prafulgulani,71,71.6,97.26,69.8,0.6
mrnu123,82.2,82.2,95.4,69.82,0
sumanthsum123,66.19,66.19,97.35,69.84,0
bigyabeast,61.18,61.18,93.67,69.86,0
liatypesfast,61.2,61.2,93.87,69.88,0
jhazelcruz,61.6,61.6,94.91,69.88,0
hassan_1,58.6,58.6,92.21,69.9,0
vessbakalov,63.19,64.59,95.83,69.91,1.4
james18211,88.38,93.18,92.87,69.95,4.8
_abdelmoneim,64,64,95.56,69.95,0
notshynotme,62.19,64.99,96.94,69.96,2.8
chakresh123,61.4,71.8,90.19,69.99,10.4
Param8000,86,88.2,96.9,70.01,2.2
ChaChaNotSmooth,65.2,68.6,89.63,70.03,3.4
Sinclair_,98.8,99.8,97.26,70.03,1
Midhun-u,62.4,63.4,95.18,70.04,1
bonito19,62.99,62.99,94.91,70.06,0
abhishek7538,73.19,73.19,96.07,70.07,0
EmmmettySteve,103.79,107.39,95.89,70.12,3.6
BtKar,78,83.6,96,70.13,5.6
Patsawut,63.2,63.2,94.89,70.14,0
mafaz10,83.99,87.99,95.38,70.19,4
dm711,96.39,99.59,95.15,70.2,3.2
denpmtn,94.2,95.6,96.36,70.22,1.4
learn12,61.59,62.39,95.45,70.22,0.8
F_Helmet,74.19,81.58,89.74,70.24,7.39
k_a_t_s_u_m_i,88.2,88.2,96.11,70.25,0
desmond_miles,74.4,77.39,95.26,70.27,2.99
sunnyji_12,66.6,68.8,97.43,70.28,2.2
_Kaushik_,84.2,84.2,96.79,70.29,0
Rockstargiri,63.4,81,89.14,70.3,17.6
Rohit07Panchal,79.79,83.19,97.16,70.3,3.4
krhi,60.8,62.6,96.54,70.31,1.8
_Villain_,75,75,96.68,70.37,0
barely_al,82.19,83.99,94.37,70.38,1.8
AliAdullah,63.79,64.19,96.69,70.4,0.4
shan1,125.8,131.2,96.85,70.41,5.4
Ambani,85.39,90.79,94.86,70.42,5.4
ghostype,76.99,86.98,94.16,70.43,9.99
NascentMaker,70.8,70.8,95.43,70.44,0
sumopro_123,104.99,110.59,93.59,70.46,5.6
bugtapkk,61,61,96.24,70.46,0
Blisss,80.4,88.8,91.97,70.47,8.4
kotobo,83.2,85.2,96.79,70.5,2
Crafttea,125.39,125.39,96.49,70.5,0
zurgg,85.4,88,94.21,70.51,2.6
shohrux1_y,84.99,84.99,97.27,70.53,0
Jahniii,62.6,63.2,92.42,70.54,0.6
alargepileofash,87,90.6,92.74,70.55,3.6
XerxesHB,106.99,106.99,96.07,70.55,0
samanthOG Account,89.59,93.99,95.86,70.57,4.4
iSuckAtTypingBb,59.8,59.8,91.52,70.59,0
BigDaddyDuck,83.2,83.2,96.1,70.61,0
Killer_Man,61.39,61.39,97.78,70.61,0
fahdxs,80.38,81.38,95.98,70.65,1
JazelGasminB109,62,62,92.6,70.66,0
naibius,73.78,73.78,96.1,70.67,0
cyalater,116.58,118.78,95.02,70.69,2.2
miochongi,102.8,103.8,97.55,70.69,1
JoahnaB109,68.99,68.99,97.73,70.71,0
Harsh_Gohil,65.8,65.8,96.5,70.72,0
Tanmayn,80.4,80.4,96.44,70.74,0
JackaL.T,94.58,95.58,95.99,70.76,1
Tada,64.79,64.79,97.89,70.77,0
sidek,61.4,61.4,94.24,70.78,0
iamseanism21,68.2,73.6,93.78,70.82,5.4
rajasom,75.99,76.59,94.36,70.86,0.6
dwintour,72.4,72.4,99.18,70.86,0
D3n0,58.38,58.38,91.67,70.88,0
AadilSattar,104.19,107.99,93.34,70.9,3.8
DylanMurphy,64,66.4,97.63,70.91,2.4
Lucky_24,72.4,72.4,92.89,70.93,0
Mrt09,76.8,76.8,96.49,70.97,0
NatSanB109,65.8,65.8,98.5,70.97,0
wrightguys,85.8,86.8,93.93,71.05,1
cjnsario,84.2,84.2,95.49,71.05,0
Arindam1111,86.39,87.19,94.83,71.1,0.8
tpaulino,69.59,75.59,91.67,71.11,6
NoguchiSan,85,85,93.29,71.13,0
22nd_Jan_2025,93.6,98.8,94.75,71.14,5.2
benaw,113.98,122.98,93.56,71.17,9
flahitoruiz,71.8,71.8,98.09,71.19,0
scrum.z,90.97,98.17,95.2,71.21,7.2
CoderJava,88.6,89.6,97.17,71.28,1
Azm2002,71,71,95.47,71.29,0
monkey0401,135,140.2,93.87,71.32,5.2
bunnyclicker,69.8,71.2,96.51,71.33,1.4
bhobs,88.79,88.79,96.75,71.34,0
Aarushh,74,74,95.12,71.35,0
tajiaoku,87.8,87.8,97.35,71.35,0
HungerMite,121.6,121.6,97.92,71.35,0
